split,seed,target_train_size,mol_id,split_role
random,44,8000,938,train
random,44,8000,5983,train
random,44,8000,1997,train
random,44,8000,6400,train
random,44,8000,14964,train
random,44,8000,3954,train
random,44,8000,14592,train
random,44,8000,2743,train
random,44,8000,11609,train
random,44,8000,12377,train
random,44,8000,5786,train
random,44,8000,2192,train
random,44,8000,2011,train
random,44,8000,10892,train
random,44,8000,12719,train
random,44,8000,7640,train
random,44,8000,11908,train
random,44,8000,2852,train
random,44,8000,5536,train
random,44,8000,9244,train
random,44,8000,12008,train
random,44,8000,10895,train
random,44,8000,13514,train
random,44,8000,666,train
random,44,8000,9256,train
random,44,8000,1390,train
random,44,8000,8424,train
random,44,8000,9587,train
random,44,8000,10396,train
random,44,8000,1854,train
random,44,8000,5680,train
random,44,8000,14059,train
random,44,8000,13977,train
random,44,8000,12394,train
random,44,8000,9742,train
random,44,8000,3762,train
random,44,8000,7119,train
random,44,8000,14474,train
random,44,8000,470,train
random,44,8000,12589,train
random,44,8000,4935,train
random,44,8000,11571,train
random,44,8000,7910,train
random,44,8000,11553,train
random,44,8000,1739,train
random,44,8000,1201,train
random,44,8000,11282,train
random,44,8000,10639,train
random,44,8000,4239,train
random,44,8000,7890,train
random,44,8000,6483,train
random,44,8000,14122,train
random,44,8000,2504,train
random,44,8000,1022,train
random,44,8000,10345,train
random,44,8000,2832,train
random,44,8000,11470,train
random,44,8000,9798,train
random,44,8000,4652,train
random,44,8000,6456,train
random,44,8000,6202,train
random,44,8000,10746,train
random,44,8000,5464,train
random,44,8000,4646,train
random,44,8000,359,train
random,44,8000,15214,train
random,44,8000,4794,train
random,44,8000,4063,train
random,44,8000,14910,train
random,44,8000,3192,train
random,44,8000,4618,train
random,44,8000,1604,train
random,44,8000,14924,train
random,44,8000,6923,train
random,44,8000,4673,train
random,44,8000,5704,train
random,44,8000,2597,train
random,44,8000,4365,train
random,44,8000,13773,train
random,44,8000,7821,train
random,44,8000,7319,train
random,44,8000,3151,train
random,44,8000,8918,train
random,44,8000,13444,train
random,44,8000,11746,train
random,44,8000,3149,train
random,44,8000,2738,train
random,44,8000,14802,train
random,44,8000,5187,train
random,44,8000,4346,train
random,44,8000,9014,train
random,44,8000,14224,train
random,44,8000,3673,train
random,44,8000,3875,train
random,44,8000,9599,train
random,44,8000,14812,train
random,44,8000,6829,train
random,44,8000,6771,train
random,44,8000,11774,train
random,44,8000,5440,train
random,44,8000,4451,train
random,44,8000,3266,train
random,44,8000,5395,train
random,44,8000,5613,train
random,44,8000,13970,train
random,44,8000,5425,train
random,44,8000,3498,train
random,44,8000,9893,train
random,44,8000,13544,train
random,44,8000,9860,train
random,44,8000,3559,train
random,44,8000,6423,train
random,44,8000,9753,train
random,44,8000,5327,train
random,44,8000,2883,train
random,44,8000,4311,train
random,44,8000,7830,train
random,44,8000,2187,train
random,44,8000,10539,train
random,44,8000,12379,train
random,44,8000,43,train
random,44,8000,1496,train
random,44,8000,13638,train
random,44,8000,1158,train
random,44,8000,9197,train
random,44,8000,4504,train
random,44,8000,10290,train
random,44,8000,13324,train
random,44,8000,4329,train
random,44,8000,6883,train
random,44,8000,2665,train
random,44,8000,1568,train
random,44,8000,3262,train
random,44,8000,11543,train
random,44,8000,5624,train
random,44,8000,7149,train
random,44,8000,6091,train
random,44,8000,4016,train
random,44,8000,12803,train
random,44,8000,745,train
random,44,8000,3293,train
random,44,8000,6918,train
random,44,8000,8042,train
random,44,8000,13079,train
random,44,8000,7509,train
random,44,8000,2103,train
random,44,8000,5785,train
random,44,8000,9379,train
random,44,8000,9912,train
random,44,8000,11770,train
random,44,8000,5552,train
random,44,8000,14497,train
random,44,8000,14691,train
random,44,8000,13666,train
random,44,8000,3804,train
random,44,8000,12903,train
random,44,8000,2862,train
random,44,8000,13533,train
random,44,8000,12168,train
random,44,8000,959,train
random,44,8000,14364,train
random,44,8000,11716,train
random,44,8000,3010,train
random,44,8000,2759,train
random,44,8000,5852,train
random,44,8000,1232,train
random,44,8000,10178,train
random,44,8000,458,train
random,44,8000,10723,train
random,44,8000,11167,train
random,44,8000,2863,train
random,44,8000,1023,train
random,44,8000,2957,train
random,44,8000,5827,train
random,44,8000,14904,train
random,44,8000,12763,train
random,44,8000,11837,train
random,44,8000,7534,train
random,44,8000,10667,train
random,44,8000,12158,train
random,44,8000,11650,train
random,44,8000,9717,train
random,44,8000,9800,train
random,44,8000,650,train
random,44,8000,13624,train
random,44,8000,15113,train
random,44,8000,1229,train
random,44,8000,2311,train
random,44,8000,14385,train
random,44,8000,3093,train
random,44,8000,11106,train
random,44,8000,13849,train
random,44,8000,12344,train
random,44,8000,12980,train
random,44,8000,14828,train
random,44,8000,8079,train
random,44,8000,11694,train
random,44,8000,7925,train
random,44,8000,15200,train
random,44,8000,3949,train
random,44,8000,5107,train
random,44,8000,3831,train
random,44,8000,6341,train
random,44,8000,1631,train
random,44,8000,14883,train
random,44,8000,5518,train
random,44,8000,14695,train
random,44,8000,5212,train
random,44,8000,9421,train
random,44,8000,12033,train
random,44,8000,9523,train
random,44,8000,10568,train
random,44,8000,9524,train
random,44,8000,11656,train
random,44,8000,13455,train
random,44,8000,8602,train
random,44,8000,1638,train
random,44,8000,9372,train
random,44,8000,4584,train
random,44,8000,12268,train
random,44,8000,3394,train
random,44,8000,9170,train
random,44,8000,10941,train
random,44,8000,9396,train
random,44,8000,2761,train
random,44,8000,7885,train
random,44,8000,2166,train
random,44,8000,2048,train
random,44,8000,3235,train
random,44,8000,8165,train
random,44,8000,6237,train
random,44,8000,12291,train
random,44,8000,13990,train
random,44,8000,6659,train
random,44,8000,1607,train
random,44,8000,14239,train
random,44,8000,5572,train
random,44,8000,12798,train
random,44,8000,1097,train
random,44,8000,5984,train
random,44,8000,9046,train
random,44,8000,74,train
random,44,8000,2142,train
random,44,8000,8586,train
random,44,8000,6362,train
random,44,8000,5438,train
random,44,8000,10025,train
random,44,8000,695,train
random,44,8000,12647,train
random,44,8000,1917,train
random,44,8000,5447,train
random,44,8000,9903,train
random,44,8000,5407,train
random,44,8000,14446,train
random,44,8000,10422,train
random,44,8000,14734,train
random,44,8000,5716,train
random,44,8000,7836,train
random,44,8000,8827,train
random,44,8000,10977,train
random,44,8000,2333,train
random,44,8000,14068,train
random,44,8000,10835,train
random,44,8000,9762,train
random,44,8000,11805,train
random,44,8000,11390,train
random,44,8000,11655,train
random,44,8000,4675,train
random,44,8000,14770,train
random,44,8000,5774,train
random,44,8000,157,train
random,44,8000,3134,train
random,44,8000,11921,train
random,44,8000,12454,train
random,44,8000,4123,train
random,44,8000,4686,train
random,44,8000,6953,train
random,44,8000,9972,train
random,44,8000,7152,train
random,44,8000,14178,train
random,44,8000,3074,train
random,44,8000,10047,train
random,44,8000,14412,train
random,44,8000,2568,train
random,44,8000,14328,train
random,44,8000,3367,train
random,44,8000,14149,train
random,44,8000,6010,train
random,44,8000,4561,train
random,44,8000,2540,train
random,44,8000,15093,train
random,44,8000,15058,train
random,44,8000,2868,train
random,44,8000,12689,train
random,44,8000,5516,train
random,44,8000,10416,train
random,44,8000,2215,train
random,44,8000,698,train
random,44,8000,11800,train
random,44,8000,4349,train
random,44,8000,2523,train
random,44,8000,3861,train
random,44,8000,2637,train
random,44,8000,11441,train
random,44,8000,5521,train
random,44,8000,2671,train
random,44,8000,8440,train
random,44,8000,4044,train
random,44,8000,6676,train
random,44,8000,12145,train
random,44,8000,12303,train
random,44,8000,544,train
random,44,8000,7831,train
random,44,8000,3046,train
random,44,8000,14530,train
random,44,8000,13914,train
random,44,8000,3986,train
random,44,8000,3798,train
random,44,8000,2851,train
random,44,8000,4509,train
random,44,8000,414,train
random,44,8000,916,train
random,44,8000,8848,train
random,44,8000,6628,train
random,44,8000,1647,train
