split,seed,target_train_size,mol_id,split_role
scaffold,44,500,5889,train
scaffold,44,500,1460,train
scaffold,44,500,1310,train
scaffold,44,500,3255,train
scaffold,44,500,7729,train
scaffold,44,500,11307,train
scaffold,44,500,10825,train
scaffold,44,500,14369,train
scaffold,44,500,9043,train
scaffold,44,500,6582,train
scaffold,44,500,2553,train
scaffold,44,500,14293,train
scaffold,44,500,6862,train
scaffold,44,500,10704,train
scaffold,44,500,6562,train
scaffold,44,500,1472,train
scaffold,44,500,7063,train
scaffold,44,500,6245,train
scaffold,44,500,728,train
scaffold,44,500,2894,train
scaffold,44,500,9919,train
scaffold,44,500,11851,train
scaffold,44,500,15036,train
scaffold,44,500,712,train
scaffold,44,500,2812,train
scaffold,44,500,10678,train
scaffold,44,500,8788,train
scaffold,44,500,8914,train
scaffold,44,500,9079,train
scaffold,44,500,12065,train
scaffold,44,500,13237,train
scaffold,44,500,10193,train
scaffold,44,500,4468,train
scaffold,44,500,2262,train
scaffold,44,500,3809,train
scaffold,44,500,8529,train
scaffold,44,500,1754,train
scaffold,44,500,1394,train
scaffold,44,500,5024,train
scaffold,44,500,2499,train
scaffold,44,500,6633,train
scaffold,44,500,1006,train
scaffold,44,500,10567,train
scaffold,44,500,4927,train
scaffold,44,500,3277,train
scaffold,44,500,1184,train
scaffold,44,500,2083,train
scaffold,44,500,12166,train
scaffold,44,500,1083,train
scaffold,44,500,2755,train
scaffold,44,500,7973,train
scaffold,44,500,1170,train
scaffold,44,500,850,train
scaffold,44,500,7284,train
scaffold,44,500,12030,train
scaffold,44,500,11501,train
scaffold,44,500,6542,train
scaffold,44,500,4469,train
scaffold,44,500,6446,train
scaffold,44,500,8261,train
scaffold,44,500,13356,train
scaffold,44,500,2156,train
scaffold,44,500,5100,train
scaffold,44,500,4126,train
scaffold,44,500,7083,train
scaffold,44,500,8465,train
scaffold,44,500,13083,train
scaffold,44,500,8890,train
scaffold,44,500,3774,train
scaffold,44,500,2353,train
scaffold,44,500,7326,train
scaffold,44,500,11429,train
scaffold,44,500,6110,train
scaffold,44,500,6020,train
scaffold,44,500,13321,train
scaffold,44,500,9768,train
scaffold,44,500,12420,train
scaffold,44,500,4667,train
scaffold,44,500,12059,train
scaffold,44,500,3955,train
scaffold,44,500,12120,train
scaffold,44,500,3485,train
scaffold,44,500,4116,train
scaffold,44,500,2985,train
scaffold,44,500,6921,train
scaffold,44,500,727,train
scaffold,44,500,7610,train
scaffold,44,500,12813,train
scaffold,44,500,7767,train
scaffold,44,500,11991,train
scaffold,44,500,10425,train
scaffold,44,500,3989,train
scaffold,44,500,5438,train
scaffold,44,500,3688,train
scaffold,44,500,7673,train
scaffold,44,500,11463,train
scaffold,44,500,14159,train
scaffold,44,500,3444,train
scaffold,44,500,2016,train
scaffold,44,500,2907,train
scaffold,44,500,8276,train
scaffold,44,500,6849,train
scaffold,44,500,6837,train
scaffold,44,500,9298,train
scaffold,44,500,6380,train
scaffold,44,500,9673,train
scaffold,44,500,2854,train
scaffold,44,500,13168,train
scaffold,44,500,4946,train
scaffold,44,500,13716,train
scaffold,44,500,1849,train
scaffold,44,500,11782,train
scaffold,44,500,7030,train
scaffold,44,500,12827,train
scaffold,44,500,3851,train
scaffold,44,500,9545,train
scaffold,44,500,13146,train
scaffold,44,500,8710,train
scaffold,44,500,7483,train
scaffold,44,500,1459,train
scaffold,44,500,11200,train
scaffold,44,500,3707,train
scaffold,44,500,10963,train
scaffold,44,500,13071,train
scaffold,44,500,4623,train
scaffold,44,500,13326,train
scaffold,44,500,388,train
